42,13.233.239.221,192.168.29.227,27017,57090,Jan 20\, 2025 19:27:37.535202000 IST
43,192.168.29.227,13.233.239.221,57090,27017,Jan 20\, 2025 19:27:37.535445000 IST
44,192.168.29.227,52.182.143.208,59590,443,Jan 20\, 2025 19:27:37.537866000 IST
45,13.233.239.221,192.168.29.227,27017,59486,Jan 20\, 2025 19:27:37.551856000 IST
46,192.168.29.227,13.233.239.221,59486,27017,Jan 20\, 2025 19:27:37.551982000 IST
47,13.202.208.48,192.168.29.227,27017,59480,Jan 20\, 2025 19:27:37.594019000 IST
48,192.168.29.227,13.202.208.48,59480,27017,Jan 20\, 2025 19:27:37.594258000 IST
49,13.232.68.211,192.168.29.227,27017,59458,Jan 20\, 2025 19:27:37.598381000 IST
50,192.168.29.227,13.232.68.211,59458,27017,Jan 20\, 2025 19:27:37.598450000 IST
51,,,,,Jan 20\, 2025 19:27:37.608914000 IST
52,,,,,Jan 20\, 2025 19:27:37.614921000 IST
53,52.182.143.208,192.168.29.227,443,59589,Jan 20\, 2025 19:27:37.620567000 IST
54,192.168.29.227,52.182.143.208,59589,443,Jan 20\, 2025 19:27:37.620717000 IST
55,192.168.29.227,52.182.143.208,59589,443,Jan 20\, 2025 19:27:37.621489000 IST
56,192.168.29.227,52.182.143.208,59589,443,Jan 20\, 2025 19:27:37.621521000 IST
57,13.202.208.48,192.168.29.227,27017,59480,Jan 20\, 2025 19:27:37.622635000 IST
58,13.233.239.221,192.168.29.227,27017,59486,Jan 20\, 2025 19:27:37.624326000 IST
59,13.232.68.211,192.168.29.227,27017,59414,Jan 20\, 2025 19:27:37.699865000 IST
60,192.168.29.227,13.232.68.211,59414,27017,Jan 20\, 2025 19:27:37.700235000 IST
61,192.168.29.227,13.202.208.48,59489,27017,Jan 20\, 2025 19:27:37.755294000 IST
62,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:37.836220000 IST
63,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:37.836224000 IST
64,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:37.839860000 IST
65,13.202.208.48,192.168.29.227,27017,59416,Jan 20\, 2025 19:27:37.861709000 IST
66,192.168.29.227,13.202.208.48,59416,27017,Jan 20\, 2025 19:27:37.861893000 IST
67,52.182.143.208,192.168.29.227,443,59590,Jan 20\, 2025 19:27:37.866928000 IST
68,192.168.29.227,52.182.143.208,59590,443,Jan 20\, 2025 19:27:37.867123000 IST
69,192.168.29.227,52.182.143.208,59590,443,Jan 20\, 2025 19:27:37.868172000 IST
70,192.168.29.227,52.182.143.208,59590,443,Jan 20\, 2025 19:27:37.868201000 IST
71,192.168.29.227,13.232.68.211,59472,27017,Jan 20\, 2025 19:27:37.942659000 IST
72,,,443,59572,Jan 20\, 2025 19:27:37.949269000 IST
73,,,59572,443,Jan 20\, 2025 19:27:37.949496000 IST
74,,,59572,443,Jan 20\, 2025 19:27:37.954689000 IST
75,52.182.143.208,192.168.29.227,443,59589,Jan 20\, 2025 19:27:37.955872000 IST
76,192.168.29.227,52.182.143.208,59589,443,Jan 20\, 2025 19:27:37.956001000 IST
77,192.168.29.227,52.182.143.208,59589,443,Jan 20\, 2025 19:27:37.958586000 IST
78,13.232.68.211,192.168.29.227,27017,59459,Jan 20\, 2025 19:27:38.138617000 IST
79,192.168.29.227,13.232.68.211,59459,27017,Jan 20\, 2025 19:27:38.138804000 IST
80,20.42.65.84,192.168.29.227,443,63394,Jan 20\, 2025 19:27:38.144931000 IST
81,192.168.29.227,20.42.65.84,63394,443,Jan 20\, 2025 19:27:38.145329000 IST
82,192.168.29.227,13.202.208.48,59489,27017,Jan 20\, 2025 19:27:38.154802000 IST
83,52.182.143.208,192.168.29.227,443,59590,Jan 20\, 2025 19:27:38.198666000 IST
84,13.202.208.48,192.168.29.227,27017,59489,Jan 20\, 2025 19:27:38.284653000 IST
85,192.168.29.227,13.202.208.48,59489,27017,Jan 20\, 2025 19:27:38.284896000 IST
86,52.182.143.208,192.168.29.227,443,59589,Jan 20\, 2025 19:27:38.294012000 IST
